Учебный год,Область,Район,Школа,Класс,Ученик,Цель обучения,Критерий оценивания,Дескриптор,СОЧ (%),МОДО (%),Отклонение,Аналитика,Обратная связь
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 3,3.2.1.2,Применение наблюдений,Объясняет свойства воды,65,84,-19,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 3,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,64,39,25,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 3,3.4.3.1,Знание структуры организма,Называет органы дыхания,72,61,11,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 3,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,59,49,10,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 4,3.1.2.1,Понимание и применение знаний,Классифицирует животных,69,76,-7,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 4,3.2.1.2,Применение наблюдений,Объясняет свойства воды,51,57,-6,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 4,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,68,59,9,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 4,3.4.3.1,Знание структуры организма,Называет органы дыхания,47,59,-12,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 4,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,73,48,25,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 5,3.1.2.1,Понимание и применение знаний,Классифицирует животных,51,73,-22,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 5,3.2.1.2,Применение наблюдений,Объясняет свойства воды,68,81,-13,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 5,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,66,42,24,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 5,3.4.3.1,Знание структуры организма,Называет органы дыхания,68,68,0,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 5,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,71,50,21,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
